mean_rr,median_rr,sdrr,rmssd,sdsd,sdrr_rmssd,hr,pnn25,pnn50,sd1,sd2,size,emotion
150.15,150.15,83.4166666666666,166.833333333333,0.0,0.5,399.6003996003996,1.0,1.0,0.0,0.0,1,2
166.833333333333,166.833333333333,33.3666666666666,66.7333333333333,0.0,0.5,359.6403596403604,1.0,1.0,0.0,0.0,2,1
166.833333333333,166.833333333333,133.466666666666,266.933333333333,0.0,0.5,359.6403596403604,1.0,1.0,0.0,0.0,1,2
183.516666666666,183.516666666666,50.05,100.1,0.0,0.5,326.94578149123726,1.0,1.0,0.0,0.0,2,3
183.516666666666,183.516666666666,83.4166666666666,166.833333333333,0.0,0.5,326.94578149123726,1.0,1.0,0.0,0.0,1,4
183.516666666666,183.516666666666,116.783333333333,233.566666666666,0.0,0.5,326.94578149123726,1.0,1.0,0.0,0.0,4,2
183.516666666666,183.516666666666,150.15,300.3,0.0,0.5,326.94578149123726,1.0,1.0,0.0,0.0,2,6
200.2,200.2,100.1,200.2,0.0,0.5,299.7002997002997,1.0,1.0,0.0,0.0,3,4
200.2,200.2,133.466666666666,266.933333333333,0.0,0.5,299.7002997002997,1.0,1.0,0.0,0.0,5,5
200.2,200.2,166.833333333333,333.666666666666,0.0,0.5,299.7002997002997,1.0,1.0,0.0,0.0,1,5
200.2,300.3,100.1,200.2,0.0,0.5,299.7002997002997,1.0,1.0,0.0,0.0,1,8
216.883333333333,216.883333333333,116.783333333333,233.566666666666,0.0,0.5,276.6464304925847,1.0,1.0,0.0,0.0,4,4
233.566666666666,233.566666666666,133.466666666666,266.933333333333,0.0,0.5,256.8859711716862,1.0,1.0,0.0,0.0,3,1
233.566666666666,233.566666666666,166.833333333333,333.666666666666,0.0,0.5,256.8859711716862,1.0,1.0,0.0,0.0,4,1
233.566666666666,233.566666666666,200.2,400.4,0.0,0.5,256.8859711716862,1.0,1.0,0.0,0.0,2,5
233.566666666666,300.3,190.706384752019,433.766666666666,0.0,0.439652005114929,256.8859711716862,1.0,1.0,0.0,0.0,1,4
250.25,250.25,116.783333333333,233.566666666666,0.0,0.5,239.76023976023976,1.0,1.0,0.0,0.0,2,3
250.25,250.25,150.15,300.3,0.0,0.5,239.76023976023976,1.0,1.0,0.0,0.0,3,2
250.25,250.25,183.516666666666,367.033333333333,0.0,0.5,239.76023976023976,1.0,1.0,0.0,0.0,1,3
250.25,250.25,216.883333333333,433.766666666666,0.0,0.5,239.76023976023976,1.0,1.0,0.0,0.0,2,8
255.811111111111,300.3,113.424856291252,149.220269698485,66.7333333333333,0.760116950066092,234.54806063501726,1.0,1.0,47.1875925311822,94.3751850623645,1,8
266.933333333333,266.933333333333,133.466666666666,266.933333333333,0.0,0.499999999999999,224.77522477522507,1.0,1.0,0.0,0.0,3,2
266.933333333333,266.933333333333,136.218846251442,263.786661485712,83.4166666666666,0.516397779494322,224.77522477522507,1.0,1.0,176.953471991933,58.9844906639778,1,1
266.933333333333,266.933333333333,166.833333333333,333.666666666666,0.0,0.5,224.77522477522507,1.0,1.0,0.0,0.0,3,6
266.933333333333,266.933333333333,200.2,400.4,0.0,0.5,224.77522477522507,1.0,1.0,0.0,0.0,3,2
266.933333333333,266.933333333333,233.566666666666,467.133333333333,0.0,0.5,224.77522477522507,1.0,1.0,0.0,0.0,4,2
266.933333333333,300.3,124.846634805357,255.205926655318,50.05,0.489199590470228,224.77522477522507,1.0,1.0,176.953471991933,35.3906943983867,1,8
266.933333333333,367.033333333333,165.717378779745,237.114717899257,150.149999999999,0.698891153817594,224.77522477522507,1.0,0.5,106.17208319516,129.765879460751,1,7
278.055555555555,233.566666666666,193.28361493533,242.912999972326,66.7333333333333,0.79569069978696,215.78421578421623,1.0,1.0,47.1875925311822,165.156573859137,1,7
278.055555555555,266.933333333333,177.259053643997,217.524053586928,16.6833333333333,0.814894034572409,215.78421578421623,1.0,1.0,11.7968981327955,153.359675726342,1,2
278.055555555555,333.666666666666,128.749030441033,217.524053586928,116.783333333333,0.591884108069832,215.78421578421623,1.0,1.0,129.765879460751,82.5782869295689,1,1
283.616666666666,283.616666666666,150.15,300.3,0.0,0.5,211.55315272962383,1.0,1.0,0.0,0.0,3,7
283.616666666666,283.616666666666,183.516666666666,367.033333333333,0.0,0.5,211.55315272962383,1.0,1.0,0.0,0.0,4,4
283.616666666666,283.616666666666,216.883333333333,433.766666666666,0.0,0.5,211.55315272962383,1.0,1.0,0.0,0.0,1,6
283.616666666666,283.616666666666,250.25,500.5,0.0,0.5,211.55315272962383,1.0,1.0,0.0,0.0,2,6
283.616666666666,300.3,183.516666666666,367.033333333333,0.0,0.5,211.55315272962383,1.0,1.0,0.0,0.0,2,3
283.616666666666,316.983333333333,183.516666666666,367.033333333333,0.0,0.5,211.55315272962383,1.0,1.0,0.0,0.0,1,3
289.177777777777,300.3,177.259053643997,217.524053586928,16.6833333333333,0.814894034572409,207.4848228694388,1.0,1.0,11.7968981327955,153.359675726342,1,5
291.958333333333,333.666666666666,123.445393629464,254.112962632325,100.1,0.485789439274203,205.5087769373486,1.0,1.0,165.156573859137,70.7813887967733,1,2
300.3,233.566666666666,170.137284436879,291.839142337007,150.15,0.582983088130137,199.8001998001998,1.0,1.0,176.953471991933,106.17208319516,3,5
300.3,300.3,120.305227557981,221.329427676383,94.3751850623645,0.543557306504609,199.8001998001998,1.0,1.0,155.711111111111,115.585523891763,1,4
300.3,300.3,133.466666666666,266.933333333333,0.0,0.499999999999999,199.8001998001998,1.0,1.0,0.0,0.0,1,6
